Digraphs 1,Digraphs 2,Digraphs 3,Label
shughuli,kutangaza,matayarisho,0.072765073
kuchaganya,sheria,mashujaa,0.070686071
wanachanganya,maisha,wameshindwa,0.068607069
wamejenga,Fukuchani,walioathirika,0.066528067
kuingia,unachotaka,baadhi,0.064449064
nimesikitishwa,kujilinganisha,tunaangalia,0.062370062
viongozi,Mungu,msingi,0.06029106
alishindwa,ameonyesha,shuguli,0.058212058
kuwachukulia,chom,biashara,0.056133056
viongozi,cho,nyakati,0.054054054
kwenye,anglikana,Ingawa,0.051975052
cha,nchini,yenye,0.04989605
mashirika,uingereza,michezo,0.047817048
kinaingizwa,kwenye,langu,0.045738046
nchini,Ethiopia,sherehe,0.043659044
pengo,umegawanyika,fangasi,0.041580042
mbunge,shirikisho,kudhohofika,0.03950104
mwingine,wingi,kinga,0.037422037
mheshimiwa,nyaraka,uchaguzi,0.035343035
nilishiriki,kwenye,umefanyika,0.033264033
kujenga,shelfu,kiwango,0.031185031
nilifanya,chumbani,cha,0.029106029
orodha,kisha,nyingi,0.027027027
viongozi,lugha,biashara,0.024948025
walifanya,uendeshaji,kuwahonga,0.022869023
inashindwa,Muhongo,Uchumi,0.020790021
viongozi,alishakabidhi,yanayoangaliwa,0.018711019
maisha,tunachukuana,jicho,0.016632017
ikilinganishwa,kwenye,Kisheria,0.014553015
baadhi,Kisha,mungu,0.012474012
viongozi,kwenye,ngumu,0.01039501
msingi,chake,uchumi,0.008316008
kuwachukulia,nchi,nyingi,0.006237006
fedha,amechukua,Songwe,0.004158004
lenye,nimeapishwa,kidharura,0.002079002
kufanya,nyote,ilithibitisha,1.44329E-15
mdhibiti,mumeshuhudia,Lugha,-0.002079002
kwenye,kushughulikia,amepongeza,-0.004158004
alitangaza,uchafuzi,shafil,-0.006237006
kuonya,alimfanya,alichopendekeza,-0.008316008
fedha,kinga,orodha,-0.01039501
waliwasilisha,hazifanyi,waandishi,-0.012474012
kwenye,mengi,upungufu,-0.014553015
bunge,kujenga,mkubwaUpungufu,-0.016632017
bunge,kujenga,unaonyesha,-0.018711019
iwasilishwe,mashariki,kuchukua,-0.020790021
fedha,ushawishi,wafanye,-0.022869023
uchumi,uchumi,Alishtuka,-0.024948025
bunge,mwishoni,wanachi,-0.027027027
mbunge,maisha,wenye,-0.029106029
kuacha,sherehe,ishirini,-0.031185031
uchumi,wanaachwa,wanajenga,-0.033264033
kusababisha,kadhaa,watangazaji,-0.035343035
nchi,Wanyiha,Mungu,-0.037422037
kadhaa,kuhifadhiwa,bingu,-0.03950104
kuacha,Macha,ardhi,-0.041580042
kukidhiri,Machange,unyanyasaji,-0.043659044
mungu,Mshiu,viongozi,-0.045738046
kuzungukwa,Moshi,kwenye,-0.047817048
nchi,Mlngu,ambacho,-0.04989605
uchumi,biashara,wanaokulisha,-0.051975052
ang,kuacha,chakula,-0.054054054
kuongeza,chakula,jeshi,-0.056133056
tumechukua,Tanga,liliingia,-0.058212058
fedha,Washambuliaji,waliopoangamiza,-0.06029106
nyingi,ngao,kuonyesha,-0.062370062
kufanya,majeshi,kinyanganyiro,-0.064449064
nchi,nguvu,cha,-0.066528067
tumeifanya,kiongozi,dhidi,-0.068607069
kichaka,zingine,wafanyabiashara,-0.070686071
cha,nchini,Kenya,-0.072765073
zilizomfanya,kumuunga,wingi,-0.074844075
atenge,Wanamichezo,nchini,-0.076923077
fedha,dhidi,uongozi,-0.079002079
kuacha,mwanajeshi,bungeni,-0.081081081
chalinze,aliyeongoza,kuhifadhi,-0.083160083
tanga,ushirika,wangu,-0.085239085
tanga,Mwishoni,kadhaa,-0.087318087
chalinze,yenye,yamewashawishi,-0.089397089
wabunge,wananchi,Tafadhali,-0.091476091
mungu,itakayowahamasisha,kunipunguzia,-0.093555094
nyingi,kuwaghadhabisha,shilingi,-0.095634096
kuacha,yenyewe,shilingi,-0.097713098
kisingizo,alivyofanya,wengi,-0.0997921
cha,kuingiza,jeshini,-0.101871102
yatakayoingia,mazingira,Turekebishe,-0.103950104
mbunge,chunguza,nchini,-0.106029106
mashariki,vichafuzi,Kenya,-0.108108108
kurejesha,nyingi,mwingi,-0.11018711
kwenye,uchumi,cha,-0.112266112
mbunge,maganga,hadhi,-0.114345114
pangani,korongwe,kushindana,-0.116424116
mwongozo,tanga,walioshikamana,-0.118503119
mungu,nchi,kiongozi,-0.120582121
mwongozo,kwenye,nishere,-0.122661123
kiongozi,Kazakhstan,michezo,-0.124740125
bunge,hajaonyesha,heshima,-0.126819127
wabunge,Bush,wenyeji,-0.128898129
kuonesha,Mashariki,mengi,-0.130977131
alichofanya,kushirikiana,nyinginezo,-0.133056133
kuonesha,athari,tukiachana,-0.135135135
alichofanya,wananch,jengo,-0.137214137
mheshimiwa,Mwenyekiti,ukiingiia,-0.139293139
kuonesha,kuzifanya,vimepangwa,-0.141372141
waheshimiwa,majeshi,Jeshi,-0.143451143
wabunge,uingereza,aliyefanya,-0.145530146
kuonesha,mafundisho,mpango,-0.147609148
wabunge,kuishi,vinasababisha,-0.14968815
wakionesha,misingi,alishindwa,-0.151767152
kumuunga,kutengeneza,kadhaa,-0.153846154
kusikitishwa,chipsi,wachezaji,-0.155925156
mgongo,chaulo,wengi,-0.158004158
kinachohitajika,visheti,kwenye,-0.16008316
akiwasilisha,wachezaji,Yanga,-0.162162162
kiongozi,theo,nyinginezo,-0.164241164
bungeni,bidhaa,baadhi,-0.166320166
rashid,kuangalia,zingine,-0.168399168
inasikitishwa,kenya,zingeenda,-0.17047817
nya,ilichukuliwa,Nilishiba,-0.172557173
fedha,nyumba,kuanzisha,-0.174636175
nyingi,chache,dhana,-0.176715177
kurejesha,nyingi,Tosh,-0.178794179
wananchi,nyasi,nyanda,-0.180873181
fedha,zilizojengwa,Ethiopia,-0.182952183
uchumi,zilishahamia,elizabeth,-0.185031185
bunge,ushindani,uingereza,-0.187110187
kupunguza,dhidi,uchafuzi,-0.189189189
kuwawezesha,panya,madhara,-0.191268191
akiwasilisha,kulingana,kuchukua,-0.193347193
mwenyekiti,cha,lugha,-0.195426195
kuongeza,Mashariki,imeathirika,-0.197505198
kuharakisha,ulisababisha,mchambuzi,-0.1995842
michael,uchafuzi,nchini,-0.201663202
udhibiti,Kuishi,kenya,-0.203742204
nishati,kwingi,mashindano,-0.205821206
mpango,mengi,nchi,-0.207900208
shinikizo,baadhi,angalau,-0.20997921
umelenga,mchanganyiko,hugawanyika,-0.212058212
gharama,Wanaishi,hataishia,-0.214137214
usafirishaji,uliodhaminiwa,kesho,-0.216216216
kuonya,tangu,kukomesha,-0.218295218
kupandisha,yenye,ishirini,-0.22037422
nishati,ishirini,tukiongea,-0.222453222
kudhibiti,cheo,ukazichukulia,-0.224532225
upandishaji,cha,kushangaza,-0.226611227
linaloonesha,chini,zinachukulia,-0.228690229
mwishoni,Ochuka,nyingi,-0.230769231
aliongeza,wabunge,nchini,-0.232848233
thebathini,viongozi,kenya,-0.234927235
kushuka,uchina,nchini,-0.237006237
thamani,uchumi,kenya,-0.239085239
shilingi,mengi,wengi,-0.241164241
ikilinganishwa,ishara,Mpango,-0.243243243
kupangwa,nchini,mchumi,-0.245322245
kuhamasisha,mwandishi,wengine,-0.247401247
ushindani,wanashirikiana,Washia,-0.249480249
ghafi,kupunguza,lugha,-0.251559252
nchini,kupunguza,nchini,-0.253638254
akizungumzia,wanaoingiza,Gandhi,-0.255717256
mpango,kwenye,chenye,-0.257796258
uingereza,nchi,Qing,-0.25987526
yatazingatiwa,nchi,uongozi,-0.261954262
mchakato,inashikitishwa,chama,-0.264033264
lengo,kupunguza,cha,-0.266112266
gharama,ghafla,cha,-0.268191268
msongamano,wenyewe,uchafuzi,-0.27027027
kusababisha,kulishughulikia,yangu,-0.272349272
ucheleweshaji,kuungana,kisheria,-0.274428274
washauri,shahidi,wangu,-0.276507277
watazingatia,chini,mwanasheria,-0.278586279
sheria,Ishirini,kuwaangalia,-0.280665281
nchi,oparesheni,bidhaa,-0.282744283
mpango,licha,kufanya,-0.284823285
ufanyike,changamoto,wabunge,-0.286902287
entrepreneurship,alishambuliwa,kipingamizi,-0.288981289
wanachama,aliangalia,mchakato,-0.291060291
wamepanga,zangu,kumuidhinisha,-0.293139293
kushinikiza,amezungumza,nchini,-0.295218295
shauri,washiriki,Gungulugwa,-0.297297297
akizungumza,Barghash,Waingu,-0.299376299
wanachama,uchu,uchomaji,-0.301455301
itachukua,kuchukuwa,kadhalika,-0.303534304
tumepanga,kuonesha,kushinikiza,-0.305613306
wingi,utashi,kuachiwa,-0.307692308
kesho,walishiriki,wafungwa,-0.30977131
kufikisha,kwenye,madhehebu,-0.311850312
sheria,walioendesha,kishia,-0.313929314
kuongeza,orodha,Imeshuka,-0.316008316
nguvu,yenye,mwingine,-0.318087318
kitakachoendelea,maandishi,kujikinga,-0.32016632
mwanachama,kuthibitisha,jicho,-0.322245322
wanafikishwa,mengi,jicho,-0.324324324
shauku,vilivyoshirikiana,kusababisha,-0.326403326
dhamana,WasubaGirango,kuathiri,-0.328482328
washitakiwa,WasunaGirango,baadhi,-0.330561331
walifikishwa,wanaishi,ngozi,-0.332640333
mwishoni,viungani,Arusha,-0.334719335
pingamizi,nyavu,ngombe,-0.336798337
dhamana,kujenga,kingono,-0.338877339
lililowasilishwa,kashinje,Mandhari,-0.340956341
cha,mwanachama,unaoshughulikia,-0.343035343
kutawafanya,shajara,vipashio,-0.345114345
washitakiwa,kuzitengeneza,lugha,-0.347193347
dhamana,kinyama,wameshushia,-0.349272349
kisheria,ng,jeshi,-0.351351351
dhamana,wengi,nchi,-0.353430353
mashitaka,lilimfanya,limezingirwa,-0.355509356
ulipinga,wengi,cha,-0.357588358
dhamana,waliyoathirika,janga,-0.35966736
washitakiwa,wanaishi,Walihifadhi,-0.361746362
wachungaji,chama,Wafungwa,-0.363825364
kuwafanyia,cha,wananyanyaswa,-0.365904366
dhamana,Mungu,michango,-0.367983368
washitakiwa,mchwa,watamlazimisha,-0.37006237
mashitaka,bunge,Aliunganisha,-0.372141372
msingi,afghanistan,cha,-0.374220374
washitakiwa,limefunguliwa,chai,-0.376299376
timotheo,kuunganisha,cha,-0.378378378
loitnggye,nguvu,bidhaa,-0.38045738
kuendesha,kwenye,chakula,-0.382536383
kinyume,Aliwakilisha,chini,-0.384615385
sheria,Mashariki,Uingereza,-0.386694387
fedha,cha,tumehakikisha,-0.388773389
ishirini,cha,muongo,-0.390852391
machi,cha,ilikuhakikisha,-0.392931393
mengine,alifanya,uchumi,-0.395010395
nchini,mashabiki,congo,-0.397089397
walikusanya,Bongo,madhehebu,-0.399168399
fedha,nchini,tangu,-0.401247401
fedha,itaanzisha,Khrushchev,-0.403326403
mazingira,mlenga,kuchukua,-0.405405405
biashara,nyumba,Hifadhi,-0.407484407
washitakiwa,yenye,inajumuisha,-0.40956341
kinyume,cha,inawezesha,-0.411642412
cha,mdunguaji,kupitisha,-0.413721414
sheria,Magreth,sheria,-0.415800416
kufanyika,suluhisho,wengi,-0.417879418
cha,halikuchukua,kwangu,-0.41995842
ishirini,nyasi,Mathew,-0.422037422
machi,zinaashiria,mchezaji,-0.424116424
nchi,wingi,Yanga,-0.426195426
kufungwa,kadhalika,wengi,-0.428274428
wanachama,kuongezeka,kiungo,-0.43035343
wakionesha,kiwango,cha,-0.432432432
kuacha,cha,chakula,-0.434511435
bungeni,ulimwengu,kufanya,-0.436590437
fedha,Mshauri,sherehe,-0.438669439
uchumi,cha,ukiangalia,-0.440748441
chache,sheria,nchini,-0.442827443
wametishia,wangu,icheza,-0.444906445
madhehebu,tuungane,ishirini,-0.446985447
mengine,kuijengea,Wabuddha,-0.449064449
bunge,nguvu,hicho,-0.451143451
litaridhia,Nchini,cha,-0.453222453
kipengele,nyingine,Wakilisha,-0.455301455
hicho,zilirahisisha,alisulubishwa,-0.457380457
akizungumza,ufanyaji,kumaanisha,-0.459459459
waandishi,kusababisha,lingine,-0.461538462
tunaungana,inayoifanya,alichukuliwa,-0.463617464
kupinga,licha,ngambo,-0.465696466
cha,haijashiriki,Mkongwe,-0.467775468
shule,mashindano,waandishi,-0.46985447
majengo,chuo,Maganga,-0.471933472
cha,cha,mamangu,-0.474012474
wachache,kiongozi,Kulingana,-0.476091476
kuadhibu,chama,wengine,-0.478170478
cha,cha,ikilinganishwa,-0.48024948
chini,nchini,thelathini,-0.482328482
malengo,bichi,nyi,-0.484407484
biashara,myungeko,mnapingana,-0.486486486
kutengeneza,lafudhi,hadithi,-0.488565489
kuwaadhibu,Mpango,uchunguzi,-0.490644491
tunashangaa,alifanya,Kenyamara,-0.492723493
mwenye,wanachokiona,nyingi,-0.494802495
dhamana,baadhi,Mheshimiwa,-0.496881497
fedha,nchini,alifanya,-0.498960499
ameonesha,afghanistan,Kisebengo,-0.501039501
udhaifu,mungu,kwenye,-0.503118503
kuficha,lugha,Uchunguzi,-0.505197505
kufanya,kushuka,nchi,-0.507276507
kuchukua,kwenye,pengine,-0.509355509
wachukuliwe,yenye,imesababisha,-0.511434511
wananchi,ghali,ishindwe,-0.513513514
cha,wangu,kuwasomesha,-0.515592516
chini,walifanya,wengi,-0.517671518
waishio,Jeshi,anasababisha,-0.51975052
kwenye,limenyosha,upungufu,-0.521829522
wengi,halitanyamaa,nchini,-0.523908524
zinafanya,viongozi,kumsababishia,-0.525987526
mchango,wakongwe,ngedere,-0.528066528
athari,ianyoitwa,hufanyika,-0.53014553
bunge,chanzo,wengine,-0.532224532
kufanya,cha,southampton,-0.534303534
wananchi,wanga,uingereza,-0.536382536
chama,upungufu,anayeishi,-0.538461538
cha,motisha,maisha,-0.540540541
baadhi,shughuli,heshima,-0.542619543
viongozi,kimaisha,nchi,-0.544698545
kutanguliza,mwandishi,yangu,-0.546777547
nchi,mwingine,kuishi,-0.548856549
richmond,vinavyolenga,kwenye,-0.550935551
inayoongozwa,wengi,nilizungumza,-0.553014553
kuiyumbisha,mazingira,uchina,-0.555093555
nchi,nyuma,Nikonga,-0.557172557
wanayoingia,kutofautisha,anatengeneza,-0.559251559
akichangia,nyingine,kashata,-0.561330561
bungeni,viongozi,madhimisho,-0.563409563
mbunge,kuelimisha,Richard,-0.565488565
shibuda,inayoongozwa,kifungo,-0.567567568
kushangazwa,mazingira,udongo,-0.56964657
kukithiri,mipango,mfinyanzi,-0.571725572
wananchi,zingine,kutosha,-0.573804574
shaka,wenyewe,usiosimamisha,-0.575883576
udhaifu,wenyewe,tuamisha,-0.577962578
wameshindwa,nchi,nyama,-0.58004158
ndicho,athari,shuleni,-0.582120582
chombo,maisha,kiuchumi,-0.584199584
cha,uliokomeshwa,nchi,-0.586278586
uongozi,Waingereza,nchi,-0.588357588
tutashika,Tanganyika,nyingine,-0.59043659
nchi,Kenya,yenye,-0.592515593
shibuda,Oghuz,nchini,-0.594594595
kuongeza,kushiriki,ubongo,-0.596673597
wanapitisha,wamenyanyaswa,umethibitisha,-0.598752599
cha,dhuluma,ambacho,-0.600831601
mbunge,maisha,wadhamini,-0.602910603
nchi,Shughuli,wenye,-0.604989605
kuingia,nyingi,kusikoishaKatika,-0.607068607
kuwazidishia,Magharibi,ameiwakilisha,-0.609147609
maisha,kwenye,nchi,-0.611226611
mazingira,Miongoni,hicho,-0.613305613
walicho,sherehe,Pingamizi,-0.615384615
nacho,nyingine,dhidi,-0.617463617
vitambulisho,nchi,kutukumbusha,-0.61954262
lingesaidia,Kongo,viungo,-0.621621622
kukusanya,Angola,washikeshike,-0.623700624
kutengeneza,Changia,waangalie,-0.625779626
vitambulisho,kufanyika,ishirini,-0.627858628
kinachoendelea,uchunguzi,muungano,-0.62993763
uongozi,uchaguzi,kumchukulia,-0.632016632
shibuda,afanye,shangazi,-0.634095634
mbunge,nyingine,uchumi,-0.636174636
kishapu,limechangia,inashikilia,-0.638253638
nchi,wengi,kuimarisha,-0.64033264
mheshimiwa,kutochagua,mwisho,-0.642411642
mwenyekiti,isiathiri,zilikamilishwa,-0.644490644
wamechukuliwa,uchaguzi,kuongeza,-0.646569647
richmond,Anafanya,Hanang,-0.648648649
wamechukuliwa,chama,ikianzisha,-0.650727651
kuongeza,chake,cheo,-0.652806653
kushindwa,shida,cha,-0.654885655
kuwachukulia,kushoto,chifu,-0.656964657
penye,kwenye,wanaozungumza,-0.659043659
penye,mashua,lugha,-0.661122661
wananchi,kupitishwa,sloths,-0.663201663
wananchi,bunge,baadhi,-0.665280665
miungu,wafanya,Kiingereza,-0.667359667
ilichaguliwa,kupunguza,skating,-0.669438669
wananchi,ongezeko,skating,-0.671517672
mbunge,bangi,nakadhalika,-0.673596674
baadhi,kiwango,kiingereza,-0.675675676
cha,majengo,kufungua,-0.677754678
jangwani,urithi,tanganyika,-0.67983368
mbunge,nyingi,nyakati,-0.681912682
wananchi,lugha,lilishambuliwa,-0.683991684
kujiunga,adhimu,kuongeza,-0.686070686
wananchi,mwingi,wengi,-0.688149688
shilingi,wachache,mengine,-0.69022869
walengwa,viongozi,mpango,-0.692307692
hawakidhi,inamaanisha,kurutubisha,-0.694386694
kujiunga,Imemfanya,mpango,-0.696465696
mbunge,cha,kurekebisha,-0.698544699
wachina,ulimwengu,uchumi,-0.700623701
kufanya,kisheria,masharti,-0.702702703
biashara,Ethiopia,unyongovu,-0.704781705
zingefanywa,nyingine,ikilinganishwa,-0.706860707
cha,Nyanya,wengi,-0.708939709
wakenya,mwongo,Kenyatta,-0.711018711
nchini,shaka,KenyaKenyatta,-0.713097713
kufanya,nicholas,Alisomeshwa,-0.715176715
wanapoingia,nchini,Uingereza,-0.717255717
kuunga,uingereza,cha,-0.719334719
kufanya,alikanyaga,jeshi,-0.721413721
mbunge,mwisho,kujumlisha,-0.723492723
mkanyageni,alichuchumaa,hunificha,-0.725571726
mnyaa,dirishani,mafichoni,-0.727650728
shirika,usafirishaji,chama,-0.72972973
cha,iliongezewa,cha,-0.731808732
tangu,janga,nywele,-0.733887734
ishirini,kuanzishwa,nyuzi,-0.735966736
mashine,Mashirikisho,wanyama,-0.738045738
kuchambua,Uingereza,ilifanywa,-0.74012474
hicho,mnaisherehekea,onyesho,-0.742203742
ishara,chini,kuburudisha,-0.744282744
jasho,jeshi,Wachagga,-0.746361746
mwandishi,Mpango,kufanya,-0.748440748
